Fly_Genesymbol	gut_control_1	gut_control_2	gut_control_3	gut_CG6295 RNAi-1_1	gut_CG6295 RNAi-1_2	gut_CG6295 RNAi-1_3		Rat_Genesymbol	IEC-6 cells_control_1	IEC-6 cells_control_2	IEC-6 cells_control_3	IEC-6 cells_ Liph_sh1_1	IEC-6 cells_ Liph_sh1_2	IEC-6 cells_ Liph_sh1_3	IEC-6 cells_ Liph_sh2_1	IEC-6 cells_ Liph_sh2_2	IEC-6 cells_ Liph_sh2_3
AP-2mu	17.32572994	15.51027063	15.97518344	19.9522083	21.94202511	21.14946179		Abcb1b	27.87259354	32.79534966	46.87150416	59.13543253	44.46030818	29.37272895	51.75037741	44.94506999	52.64374833
AP-2sigma	21.15261605	15.08813559	18.59911969	17.85476632	28.64650502	29.7583294		Abcb4	0	0.002941854	0.009130936	0.025951071	0.016261915	0	0.008621708	0.002881585	0.008834785
APC10	4.893145479	6.122326843	4.414319787	5.392712801	5.558281038	6.693606924		Abcb5	0	0.006798078	0	0	0.007515652	0.006871634	0.013282108	0.046611652	0
APC4	1.727570548	1.292646243	1.088826723	2.236035111	1.929120085	2.718644526		Abcb6	11.43811167	11.67337782	9.961297625	12.24115002	9.283960151	13.50787982	12.75830797	12.80939148	13.09964412
APC7	1.808142262	0.21412283	0.253742834	3.675693395	0.459054461	2.111865165		Abcb7	7.618201057	8.069327234	9.381214457	9.335371621	10.96855204	10.46626741	5.051660382	4.523309914	5.537659428
APP-BP1	5.821695107	5.450491986	4.473930077	8.30033388	10.55510934	11.16329115		Abcb8	8.445093761	8.226079498	7.174267659	9.161263003	7.562427715	9.347795287	5.374588772	4.831081517	5.289941629
AQP	1.217221322	1.081088362	1.054184067	0.924702741	1.353051904	0.679971249		Abcb9	0	0.004244619	0	0	0	0.004290546	0.016586303	0.008315321	0.008498109
ASPP	2.35131251	1.913860759	1.905222433	2.384391116	2.399869855	2.411722744		Abcc1	35.55400394	47.12255482	42.91847853	76.08438397	39.29755802	54.03487026	41.49463142	34.51815263	47.11720119
ATP7	16.4708243	17.78061439	17.72468336	17.10049175	18.81164565	17.00988485		Abcc10	1.802631664	1.555281609	1.240963313	1.784567577	1.357794556	1.74034307	2.293052173	2.439718884	2.200351801
ATP8B	4.213304632	3.58182346	3.736646072	5.634834488	6.857272181	6.076231813		Abcc12	0.029718467	0.061821322	0.093033315	0.037182706	0.124267094	0.090894887	0.197650986	0.143129535	0.151901817
ATPCL	60.89740041	78.24283216	60.47515555	90.09387969	101.781435	111.8859531		Abcc2	0.023845364	0.011273614	0.005831846	0.801801784	0.249272115	0.10256036	0	0.005521327	0.033856185
ATPsynB	391.2928988	396.8145433	412.5563126	330.9565504	314.5630484	307.6681381		Abcc3	4.936933353	5.53820482	5.19066163	9.720221421	4.125805305	6.47311536	5.099643722	4.944564195	6.635990758
ATPsynC	946.2805446	979.5750825	953.6575003	775.1034909	688.852938	689.2895808		Abcc4	19.77805026	23.95540621	18.56024864	20.76224497	10.74793042	17.8901921	16.01270621	12.92143772	15.71963583
ATPsynCF6	335.3489006	332.8474506	334.9924434	252.035613	267.6152158	270.2093081		Abcc5	37.10040176	44.1615241	37.17713611	76.26101295	49.23112071	82.41303241	43.63831581	37.4876177	46.90932163
ATPsynD	324.0358988	337.1564557	318.0867262	278.0836165	248.832227	256.1583073		Abcc6	0.018071824	0.012815999	0.030938706	0.094211808	0.070843988	0.138183135	0.016693295	0.00418448	0.017105855
ATPsynE	289.0600393	296.801999	291.3479253	237.0005419	224.2187411	230.9562562		Abcc9	0	0	0	0	0	0.007289257	0	0	0.003609383
ATPsynF	391.4317765	394.7894223	400.3688239	320.5921849	340.951479	323.2858304		Abcd1	12.00569115	12.57935864	9.81526034	10.73698875	11.22928828	14.60075301	15.46747854	15.96752767	16.57716689
ATPsynG	278.9304777	281.2335867	283.2535136	196.7823688	207.3369406	204.4287315		Abcd3	17.53228004	19.66434039	19.00859883	22.5877941	20.15958016	23.13659532	15.2982765	13.97869625	14.13962134
ATPsynO	412.7527688	432.3988953	400.2981389	317.8878976	301.9404494	315.3272449		Abcd4	3.362099809	3.812960574	3.746157814	3.388956001	5.213553616	3.99984251	9.363823775	9.464117011	9.547170088
ATPsynbeta	805.196741	885.7290077	846.9511846	664.2252179	655.6245322	646.5468097		Abce1	73.59654029	79.52555838	100.4307091	55.17401298	91.14848754	52.81285659	54.32388653	47.94112484	56.59735807
ATPsynbetaL	0.106465016	0.054033179	0.027441923	0.115542425	0.042266258	0.137037111		Abcf1	72.7563043	69.50648531	78.45660576	72.68218691	75.31144956	69.40162823	64.89109946	67.49321846	63.86678833
ATPsyndelta	54.89041217	57.32590423	57.1745028	47.01651934	47.56985938	43.48483001		Abcf2	45.98203327	43.90443404	52.94225395	58.70334636	61.77246551	48.51415364	34.00596739	36.7001545	33.24593424
ATPsynepsilonL	0.189588431	0.280641714	0.114023991	0	0.11708041	0.626343497		Abcf3	36.27855606	33.43411491	33.3993865	49.10576418	30.5218484	43.56597632	42.36884384	44.84898249	39.94584127
ATPsyngamma	280.4341865	294.9213792	278.2681305	253.2099582	227.5914856	229.0537389		Abcg1	3.123465641	3.179369978	1.861755395	3.585865845	1.900224857	9.527118297	4.036135063	3.865129228	4.717493363
ATbp	0.887085579	0.824238158	0.664846805	0.829420458	1.137780093	0.934533909		Abcg2	0.242703868	0.195742431	0.258381619	5.92439753	4.678806291	0.661808868	0.738509158	0.859489638	0.716220008
Aac11	32.22591965	33.26529123	32.26605248	40.35187574	46.6797402	43.04298858		Abcg3	0.16707629	0.239227911	0.191466477	0.223971437	0.229548444	0.205315794	0.127874768	0.150322922	0.185256493
Aatf	6.909642964	7.380399171	10.25245074	15.43661724	15.05820441	16.51436396		Abcg3l1	0.952017096	0.926156513	1.020888637	1.91840726	0.976070806	1.391142439	1.13306882	1.526101521	1.30837175
Abd-B	0.178584981	0.193600178	0.191909601	0.231932481	0.235977944	0.220063632		Abcg3l2	4.562478752	4.416571127	4.039297542	5.276779948	3.908477337	4.69223796	3.413604642	3.011199475	3.72364429
Abi	20.62774129	15.65532268	15.37136313	20.57690385	22.46665613	21.64295178		Abcg3l3	2.275030334	2.714935266	2.333054521	1.864907883	2.156823894	2.489375122	1.920326831	1.482241175	2.138574995
Abl	1.823809453	1.643436474	1.669309804	2.706805964	1.926634449	2.283165053		Abcg3l4	1.814755636	1.731560408	1.751125681	2.752192425	2.190276449	1.947401471	1.600128461	1.810686782	1.741177872
Abp1	38.86866183	34.48862148	37.44525057	47.89575522	64.20783328	52.00700878		Abcg4	0.504655872	0.603379556	0.354969733	0.382671375	0.344434619	0.63382615	0.31591038	0.305166295	0.406621173
Ac13E	13.78980438	16.45977978	14.38891872	12.11455006	8.828776023	10.07708439		Abcg5	0.158508919	0.207525781	0.059640664	0.877188213	0.229431266	0.909008664	0.270309729	0.259739321	0.103871323
Ac3	0.125732467	0.069129455	0.081020527	0.187622401	0.177476878	0.107891554		Abcg8	0.093549476	0.076662443	0.036606943	0.240594208	0.130391668	0.51859989	0.02880449	0.127078563	0.053129461
Ac76E	6.123373719	5.505747304	8.202225767	7.859903772	5.532049354	6.330115081		Abhd1	11.60701809	8.709434581	7.548418419	4.92786206	5.699124749	15.44319465	3.959692239	5.212261741	4.556943634
Ac78C	1.496318621	1.485557451	1.631292133	1.450959845	2.102148844	2.179110123		Abhd10	8.362119125	7.598024535	9.053909858	8.945707453	10.47159173	9.386954984	7.382292901	6.917971333	7.709026368
AcCoAS	79.39521742	66.19002934	63.55121598	92.49900272	107.9356339	89.2050239		Abhd11	7.928200246	5.418328064	7.14164562	4.419573295	5.579970379	5.551981678	4.302214571	5.404261526	4.507608336
Ace	6.582080126	5.407743575	5.608276655	5.32721762	11.39195287	10.16848033		Abhd12	59.47622255	51.95728136	46.84671618	45.28867933	33.51840249	47.63084138	44.36255586	46.67085722	38.86241851
Acer	4.570357764	3.758212017	4.647244208	4.275665863	2.708811603	3.489775583		Abhd12b	0.141392933	0.311956247	0.092214359	0.09828105	0.147807832	0.045047378	2.089718403	1.178608921	1.96291696
Acf	3.267933687	2.474664262	2.007599013	4.845923011	2.959398107	4.339751343		Abhd13	5.200280792	5.948283643	5.789571847	4.519292067	4.611330036	4.341883635	4.429030971	4.33936527	4.59035904
Achl	0.585713415	0.631680831	1.037923853	0.41714692	0.245444407	0.370669802		Abhd14a	1.182720398	0.772457075	0.429412778	0.711920869	1.019694516	1.328551125	1.160079252	1.253524549	1.050254493
Ack	4.722807648	3.048920197	3.650169324	5.756606091	5.72649265	4.953924314		Abhd14b	26.22669494	23.05134493	19.81959293	20.84821954	18.51079286	28.73480341	26.66497782	29.96417436	24.30834499
Ack-like	3.473058667	3.034997045	3.597775157	4.537635678	4.670462363	3.942146234		Abhd15	0.077770677	0.055152645	0.076081311	0.060814969	0.101623848	0.055749402	0.197555286	0.126053074	0.128823986
Acn	17.59951472	16.99195233	17.2151635	16.71257232	12.727528	13.238037		Abhd16a	16.73632714	15.10998834	14.909856	17.87597247	12.20605097	17.71657187	15.53194967	16.58002883	15.5783996
Acon	387.0015349	405.7008346	424.520909	367.2329241	376.4970919	337.8661938		Abhd17a	11.43869283	10.3875721	9.974925115	11.80958418	9.869651587	11.36138296	12.49666901	13.85211833	12.57956068
Acox57D-d	98.13726919	103.8441635	86.71038439	99.22413539	52.24895242	75.42619947		Abhd17b	5.013686253	5.345595683	5.987210503	11.10384041	7.48219875	8.212561059	5.844943574	4.97988205	5.056621394
Acox57D-p	142.6600942	157.0531293	123.9161976	103.253569	116.9081381	111.9747417		Abhd17c	8.308289109	7.959271122	10.05457904	7.70161185	8.214215451	8.521720125	7.400212632	6.904673912	6.662274012
Acp1	0	0	0	0	0	0.032518363		Abhd18	0.682255219	0.884726955	0.572087143	0.904424206	0.540000846	0.912931032	1.134382332	1.047143805	1.116289912
Acp24A4	0.142263907	0.042117746	0.042780824	0	0	0.085454076		Abhd2	22.06274913	35.65626203	37.95316032	55.32003707	42.73480237	39.37165309	37.18417863	26.59764364	47.20619905
Acp29AB	0.040373025	0	0	0	0	0		Abhd3	0.48829369	0.982997817	0.585551537	1.116764692	1.399613386	1.068909247	1.091241223	1.225457393	1.341852348
Acp32CD	0	0	0	0	0.032375508	0.06298139		Abhd4	41.41045516	40.27596757	32.73149984	62.66928418	33.57235886	35.08205314	139.9271646	141.6332299	132.5951565
Acp36DE	0	0	0.009563806	0	0	0.009551782		Abhd5	27.63772326	29.21297291	31.3460779	39.33882286	38.46066879	36.6525337	33.32544885	31.9581766	31.17231113
Acp53C14a	0	0	0	0	0	0.237453241		Abhd6	10.08127019	9.347531658	8.599602783	9.308092937	8.432964688	10.36456795	11.71484772	10.9944824	10.90296663
Acp53C14b	0	0	0	0.199359642	0	0.047289417		Abhd8	12.23205812	10.56039577	8.770367219	6.131235035	7.163907036	8.902811903	9.99364071	11.11809189	10.32692215
Acp53C14c	0.054904451	0.048763986	0.049531698	0.052137495	0.152578193	0.296816551		Abi1	28.50893242	31.57581181	33.04464473	40.79296186	38.27826424	30.10873527	27.04483933	21.48138942	27.8952652
Acp53Ea	0.066166903	0	0	0	0.12258419	0.596169995		Abi2	12.94341091	16.3343646	18.21543139	10.38166748	15.60003715	14.28752242	12.18269875	10.15457664	14.78996024
Acp54A1	0	0.089878719	0	0	0	0		Abi3	0	0	0	0.093122169	0.018673231	0	0	0	0
Acp63F	0.154444441	0.068585755	0	0.073330542	0	0		Abi3bp	5.35784828	7.986054834	5.256103927	11.02174682	5.668725377	7.676708919	11.7092985	9.545879754	13.58528629
Acp65Aa	0	0	0.045424192	0	0	0		Abitram	11.13396745	14.9079369	15.8675197	11.53703347	13.88071376	13.29561737	10.23387369	7.867792827	12.63359532
Acp95EF	0	0.113180609	0	0.121010482	0.236088069	0.114817925		Abl1	65.59559533	69.443645	60.04009903	51.43669174	62.98103134	66.05950366	63.68053086	62.35952084	70.37038727
Acp98AB	0	0	0	0	0	0.31886578		Abl2	8.56085078	11.24327479	12.72196472	14.18028855	14.37318872	9.642558342	7.302722795	5.769306866	8.629299494
Acph-1	12.9739435	11.56371425	10.87622119	15.08051282	12.5991594	15.68728265		Ablim1	3.338173376	3.675858836	3.97316697	4.129498598	5.518159053	5.492673368	3.000967736	2.551394791	3.401261284
Acsl	207.0282206	220.2306937	201.8142064	214.506928	174.4839647	194.6962777		Ablim2	0.041476703	0.043576356	0.049592558	0.043245166	0.09635216	0.061666999	0.157508328	0.123782493	0.152676629
Act42A	220.0955341	79.81926703	99.57954956	179.3268178	333.7022091	255.3279496		Ablim3	0.01441335	0.013628691	0.014100257	0.045083698	0.045201821	0.013776154	0.346161178	0.213591726	0.266037186
Act57B	229.1204784	221.2674337	180.124836	192.0229988	198.1473878	157.4029877		Abo	13.87538207	12.88452217	14.60072493	20.30943356	11.97583928	15.96537073	22.2324962	21.89650703	20.62667566
Act5C	2003.48031	1860.305314	1959.723402	2132.988338	2490.136368	2218.119454		Abo2	0.10080902	0.02383025	0.073964405	0.183937714	0.052691327	0.072264287	0.093119251	0.140052273	0.047710306
Act79B	6.00578053	6.964906767	6.332592429	7.392253054	5.829071289	4.549598225		Abo3	2.416239113	1.713524717	2.138633311	3.359015368	2.25523411	2.199447899	5.393823666	4.688919796	4.928128259
Act87E	18.9315185	19.53825071	13.44124436	19.84024349	23.42079104	14.42030012		Abr	6.902339512	8.335188316	8.395827887	7.954768591	6.953384585	7.990584014	6.898596512	5.566805807	7.336934846
Act88F	1.94144893	1.965723652	2.627198537	0.258105116	0.305730349	0.174926369		Abracl	121.8861221	98.60055521	132.2557628	80.51367435	108.7301839	96.02157063	90.50515777	99.04538722	76.62018629
Actbeta	0.17714201	0.082411269	0.129367998	0.160204561	0.101580252	0.174807241		Abraxas1	5.008915114	5.587856074	4.529123263	6.359237694	5.995988324	7.82307037	4.15977032	3.966004592	3.903621669
Actn	10.21435244	10.15186266	9.172421174	12.37687958	10.00047027	10.00764969		Abraxas2	13.87522743	15.34776462	13.92843792	21.33280386	18.1256581	18.64161701	14.28637978	13.21478967	13.8197981
Actn3	0	0	0.030103317	0	0.030910237	0		Abt1	20.43301899	16.73580133	17.15623331	22.9708896	17.0492923	21.47824319	16.09243918	17.68034265	13.94645637
Acyp	0	0	0	0	0.050324036	0.048948694		Abtb1	6.83386739	5.39487939	3.420447138	10.82043242	4.70169303	9.3267327	9.982678547	11.45189087	8.002994659
Acyp2	10.80562174	11.01892764	9.026131753	6.175639953	9.499779601	10.59237094		Abtb2	4.847824962	5.494369975	5.481697339	6.288525199	4.040233881	7.042933473	5.484814855	4.793463193	6.28493768
AdSL	12.31501445	13.34612589	14.10517195	19.06775762	17.05643011	18.25884573		Ac1576	0.560073781	1.035095014	1.095815271	0.610497291	0.585483939	2.457576257	0.258675519	0.212209383	0.168679927
AdSS	191.9549665	213.242535	225.8066594	229.9691638	212.4961426	214.2251777		Acaa1a	20.87854368	16.96738045	13.81645576	19.8860498	11.47749969	19.66274631	18.55617923	21.95064474	17.33610659
Ada	0.828709468	0.932301286	0.92205841	0.970566677	0.972362724	1.095123331		Acaa1b	0.247638856	0.522351244	0.354071644	0.516395118	0.358441004	0.345933089	0.545477966	0.758653392	0.432742431
Ada1-1	0.594957291	0.578743296	0.741208102	0.860912634	0.577368168	0.765802995		Acaa2	34.51492482	27.06738902	28.33212012	32.0031622	21.64460937	33.73719658	31.9853967	35.03979039	29.84757907
Ada1-2	1.563944972	1.894138288	1.282639016	1.431123967	1.554083858	2.536432344		Acaca	9.381053005	14.56724119	13.06883117	12.66420899	12.18061255	14.8835889	6.631985181	5.354826298	9.541296359
Ada2a	2.824311913	3.149614979	2.890706371	3.030755781	2.803944125	3.309292097		Acacb	0	0.002395655	0	0	0.007945588	0.004843152	0	0.002346576	0
Ada2b	10.2437209	6.969624106	7.132339052	14.21193744	13.99412923	15.67565224		Acad10	1.548324678	1.947838665	1.070730095	1.883398279	1.204626186	1.564925538	1.865858593	1.743101479	1.579271735
Ada3	5.790126745	5.680619067	4.992303214	7.279477063	6.949942449	7.148387769		Acad11	5.169226092	5.236425487	3.862208302	11.32382677	5.194987275	8.119488258	7.016925046	7.306012643	7.277585966
AdamTS-A	1.303415365	1.551809171	1.143405197	1.309866207	1.629602086	1.221220944		Acad8	6.524312964	6.527160814	5.299828568	9.034561554	6.409270648	7.878368132	8.057933448	8.025521257	7.33349849
Adar	4.013077798	3.991341696	3.690546995	4.942334485	5.410724479	5.208693276		Acad9	14.50976243	13.04376978	14.15839571	13.68884452	15.23249553	15.03479742	13.77873322	13.47303253	13.89755507
Adat1	10.54889477	8.700547301	10.0096585	7.050281038	7.956828304	7.581424149		Acadl	86.30827018	76.00439319	86.9680732	85.21220679	105.6080346	84.07756672	106.7973026	115.126487	97.19423302
Adck	5.010350378	5.946938164	5.764107388	7.013099323	8.331479025	8.076171269		Acadm	13.38519763	13.16685378	9.096712837	10.24183651	8.237505292	18.40901572	12.56358927	11.96874443	10.9327567
AdenoK	32.10397277	32.10835841	32.99513123	42.72680029	49.20818938	45.0512991		Acads	38.369496	32.40334617	23.19243894	27.50264178	23.1260066	35.35582613	34.88562513	42.60657765	32.40459127
Adf1	15.15619072	10.0385541	7.465087339	13.39586037	12.50971654	17.48447362		Acadsb	0.590183065	1.198173987	0.526419091	1.212595559	1.506106431	2.057276094	2.004277827	1.028933514	2.185255746
Adgf-A	126.4968005	129.0552825	118.0798172	123.3601335	89.98882619	115.6350489		Acadvl	18.60686128	18.77658019	15.30179607	20.39659695	16.1014665	20.2961034	23.87299716	27.50325808	23.27908932
Adgf-A2	1.782455337	2.086822999	2.119676754	1.908052249	1.726185526	1.562208723		Acan	0	0.003440931	0.007119983	0.018970998	0	0.010434488	0	0	0
Adgf-B	0.018279876	0	0	0	0	0.082351699		Acap1	0.146434496	0.080769871	0.083564593	0.038169524	0.255130212	0.151624217	0.022544065	0.10171949	0.057753054
Adgf-C	1.764907849	1.219183864	1.769111431	1.354314204	1.882588279	1.879325519		Acap2	13.55450708	21.86894161	21.63444141	35.02748335	27.02956926	29.349542	11.09090364	6.221598104	13.77393366
Adgf-D	1.343848562	0.562675327	1.420174816	0.838595889	0.978089597	1.40109189		Acap3	8.83278761	8.985042479	9.004816069	8.229222612	8.236643705	6.528885497	6.984518896	6.921757835	6.568175896
Adh	0.041214876	0	0.06196956	0.430515997	0.139987446	0.17329662		Acat1	37.59764855	34.62592026	32.45456118	39.32999906	37.30153091	40.51797312	35.92593739	38.67609309	33.95790831
AdipoR	108.2585475	105.6475199	108.4189585	103.8272441	103.5973828	101.2761825		Acat2	129.0030869	109.9577628	87.74283426	37.52168646	71.3574464	79.45651818	82.4759429	82.29417501	78.97164724
Adk1	6.188330128	9.319698994	9.0030317	7.432681747	8.247417796	6.060590711		Acat2l1	0.4577585	0.360698529	0.55976861	0.298297614	0.458588073	0.382831388	0.493313828	0.388639885	0.379129234
Adk2	180.6792585	198.6664009	210.5289718	153.6819488	159.0452165	138.272478		Acbd3	23.18611098	26.34486163	24.3093207	25.52733068	22.463201	22.08618624	31.20531363	27.05507739	30.39418198
Adk3	24.00789114	24.72007274	20.9794404	21.25236654	23.18145955	26.7091992		Acbd4	2.844638149	2.951857524	2.447477193	3.323358589	2.195961161	4.399008993	2.816299169	3.202139714	2.747820114
